commit	val_auc	memory_mb	status	description
4c99047	0.587152	0	keep	baseline DLRM (1 epoch only - batch too small)
00c259f	0.537979	206	discard	batch=8192 sub-epoch eval (still too slow)
45eb896	0.587032	341	discard	batch=16384 fp16 4workers (overfits immediately)
2493cc3	0.574336	0	discard	batch=4096 4workers no-fp16 (slow data loading)
00fc695	0.580550	1584	discard	pre-computed tensors batch=8192 (fast but low AUC)
3e80ce8	0.589417	12509	keep	all-GPU tensors batch=2048 (speed solved)
bd3c116	0.578287	12595	discard	embed=32 lr=3e-4 wd=1e-4 (worse)
44cdef7	0.000000	0	discard	concat+MLP (tested ml-1m only: 0.627)
e603698	0.584900	12509	discard	wide-and-deep concat (deep interferes on ml-25m)
ddfbfae	0.591917	12509	discard	wide+deep additive (still slow convergence)
1e26ac7	0.591591	12423	discard	dense-only model (NN fails to learn simple features)
dcf6ea8	0.675059	12509	keep	fix normalization + wide-deep additive (0.589→0.675)
c0f50f1	0.675812	12551	discard	LR=5e-4 embed=24 patience=9 (marginal gain)
0547163	0.670563	12509	discard	separate LR wide/deep (didn't help)
709efc1	0.684570	13024	keep	rating histogram features (0.675→0.685)
eb7c32e	0.683647	13025	discard	DIN attention (no lift over histograms)
c179afe	0.690512	13368	keep	add mean_rating + pos_rate features (0.685→0.691)
65843fa	0.692542	13287	keep	dense MLP + user/item bias (0.691→0.693)
c3e45f1	0.672721	13373	discard	genre match feature (hurts AUC)
8c86758	0.687828	13289	discard	wider MLP 512-256-128 (overfits)
6dc955d	0.688843	15003	discard	user genre pref as dense feature (hurts)
9c069d9	0.000000	0	crash	HistGBM too slow on ml-25m (killed)
7ed9cf7	0.693581	13459	keep	temporal recency features (0.693→0.694)
e83c8f3	0.691496	13527	discard	CF dot product (hurts despite low LR)
55c9b8c	0.651697	13544	discard	user-genre affinity (data leakage)
20a9d3e	0.693879	13459	discard	AdamW + cosine LR schedule (no improvement)
85f9641	0.690085	16205	discard	tag genome PCA-32 (PCA loses signal)
5fa4a16	0.688550	0	discard	genome learned compression (slow + 23% coverage)
31dd42c	0.693820	13802	discard	BatchNorm + Bayesian smoothing (no gain)
9795e5b	0.696234	13535	keep	recency-weighted training exp(2t) (0.694→0.696)
e5c13b7	0.695693	0	discard	exp(4t) recency (slightly worse than exp(2t))
6b0d63c	0.692963	0	discard	recent-half stats (added noise)
84fc564	0.693639	0	discard	residual MLP blocks (no gain)
860205f	0.655363	0	discard	hybrid neg_ratio=1 (task mismatch with val)
dc9a449	0.695757	0	discard	3-model ensemble (same as single model)
6299e19	0.692341	0	discard	multi-task BCE+MSE (slightly worse)
8f73a0e	0.693992	0	discard	cross-product features (no gain)
f3db533	0.695129	0	discard	train on recent 50% only (slightly worse)
22e9fe7	0.693960	0	discard	movie year feature (no gain)
a3ab1cb	0.696265	0	discard	focal loss gamma=2 (same as BCE)
39f8c17	0.688918	0	discard	popularity trend features (hurts)
9a2d184	0.693502	0	discard	label smoothing 0.05/0.95 (no gain)
17be681	0.706209	0	keep	19-model ensemble + HistGBM stacking (0.696→0.706)
dee270c	0.705967	0	discard	42 variants (only 19 fit in 600s)
9e61d16	0.706967	0	keep	42-variant ensemble + HistGBM (0.706→0.707)
